"tab_code","表章事項","cat01_code","国籍総数か日本人","cat02_code","男女","cat03_code","年齢","area_code","全国～人口50万以上の市","time_code","時間軸（年次）","unit","value"
"2020_01","人口","0","国籍総数","2","女","059","58歳","00000","全国","2020000000","2020年","人","750382"
"2020_01","人口","0","国籍総数","2","女","060","59歳","00000","全国","2020000000","2020年","人","736210"
"2020_01","人口","0","国籍総数","2","女","061","60歳","00000","全国","2020000000","2020年","人","742894"
"2020_01","人口","0","国籍総数","2","女","062","61歳","00000","全国","2020000000","2020年","人","756022"
"2020_01","人口","0","国籍総数","2","女","063","62歳","00000","全国","2020000000","2020年","人","736792"
"2020_01","人口","0","国籍総数","2","女","064","63歳","00000","全国","2020000000","2020年","人","716293"
"2020_01","人口","0","国籍総数","2","女","065","64歳","00000","全国","2020000000","2020年","人","752286"
"2020_01","人口","0","国籍総数","2","女","066","65歳","00000","全国","2020000000","2020年","人","774689"
"2020_01","人口","0","国籍総数","2","女","067","66歳","00000","全国","2020000000","2020年","人","775762"
"2020_01","人口","0","国籍総数","2","女","068","67歳","00000","全国","2020000000","2020年","人","825151"
"2020_01","人口","0","国籍総数","2","女","069","68歳","00000","全国","2020000000","2020年","人","870265"
"2020_01","人口","0","国籍総数","2","女","070","69歳","00000","全国","2020000000","2020年","人","919341"
"2020_01","人口","0","国籍総数","2","女","071","70歳","00000","全国","2020000000","2020年","人","987530"
"2020_01","人口","0","国籍総数","2","女","072","71歳","00000","全国","2020000000","2020年","人","1078410"
"2020_01","人口","0","国籍総数","2","女","073","72歳","00000","全国","2020000000","2020年","人","1065025"
"2020_01","人口","0","国籍総数","2","女","074","73歳","00000","全国","2020000000","2020年","人","1004558"
"2020_01","人口","0","国籍総数","2","女","075","74歳","00000","全国","2020000000","2020年","人","626986"
"2020_01","人口","0","国籍総数","2","女","076","75歳","00000","全国","2020000000","2020年","人","673299"
"2020_01","人口","0","国籍総数","2","女","077","76歳","00000","全国","2020000000","2020年","人","818265"
"2020_01","人口","0","国籍総数","2","女","078","77歳","00000","全国","2020000000","2020年","人","783717"
"2020_01","人口","0","国籍総数","2","女","079","78歳","00000","全国","2020000000","2020年","人","797760"
"2020_01","人口","0","国籍総数","2","女","080","79歳","00000","全国","2020000000","2020年","人","765027"
"2020_01","人口","0","国籍総数","2","女","081","80歳","00000","全国","2020000000","2020年","人","686726"
"2020_01","人口","0","国籍総数","2","女","082","81歳","00000","全国","2020000000","2020年","人","586308"
"2020_01","人口","0","国籍総数","2","女","083","82歳","00000","全国","2020000000","2020年","人","614410"
"2020_01","人口","0","国籍総数","2","女","084","83歳","00000","全国","2020000000","2020年","人","615013"
"2020_01","人口","0","国籍総数","2","女","085","84歳","00000","全国","2020000000","2020年","人","598178"
"2020_01","人口","0","国籍総数","2","女","086","85歳","00000","全国","2020000000","2020年","人","552744"
"2020_01","人口","0","国籍総数","2","女","087","86歳","00000","全国","2020000000","2020年","人","502121"
"2020_01","人口","0","国籍総数","2","女","088","87歳","00000","全国","2020000000","2020年","人","478789"
"2020_01","人口","0","国籍総数","2","女","089","88歳","00000","全国","2020000000","2020年","人","438169"
"2020_01","人口","0","国籍総数","2","女","090","89歳","00000","全国","2020000000","2020年","人","394527"
"2020_01","人口","0","国籍総数","2","女","091","90歳","00000","全国","2020000000","2020年","人","343762"
"2020_01","人口","0","国籍総数","2","女","092","91歳","00000","全国","2020000000","2020年","人","303628"
"2020_01","人口","0","国籍総数","2","女","093","92歳","00000","全国","2020000000","2020年","人","262251"
"2020_01","人口","0","国籍総数","2","女","094","93歳","00000","全国","2020000000","2020年","人","206909"
"2020_01","人口","0","国籍総数","2","女","095","94歳","00000","全国","2020000000","2020年","人","171163"
"2020_01","人口","0","国籍総数","2","女","096","95歳","00000","全国","2020000000","2020年","人","133378"
"2020_01","人口","0","国籍総数","2","女","097","96歳","00000","全国","2020000000","2020年","人","98995"
"2020_01","人口","0","国籍総数","2","女","098","97歳","00000","全国","2020000000","2020年","人","74721"
"2020_01","人口","0","国籍総数","2","女","099","98歳","00000","全国","2020000000","2020年","人","55062"
"2020_01","人口","0","国籍総数","2","女","100","99歳","00000","全国","2020000000","2020年","人","38458"
"2020_01","人口","0","国籍総数","2","女","101","100歳","00000","全国","2020000000","2020年","人","27866"
"2020_01","人口","0","国籍総数","2","女","102","101歳","00000","全国","2020000000","2020年","人","14968"
"2020_01","人口","0","国籍総数","2","女","103","102歳","00000","全国","2020000000","2020年","人","10477"
"2020_01","人口","0","国籍総数","2","女","104","103歳","00000","全国","2020000000","2020年","人","6424"
"2020_01","人口","0","国籍総数","2","女","105","104歳","00000","全国","2020000000","2020年","人","4222"
"2020_01","人口","0","国籍総数","2","女","106","105歳","00000","全国","2020000000","2020年","人","2549"
"2020_01","人口","0","国籍総数","2","女","107","106歳","00000","全国","2020000000","2020年","人","1501"
"2020_01","人口","0","国籍総数","2","女","108","107歳","00000","全国","2020000000","2020年","人","930"
"2020_01","人口","0","国籍総数","2","女","109","108歳","00000","全国","2020000000","2020年","人","496"
"2020_01","人口","0","国籍総数","2","女","110","109歳","00000","全国","2020000000","2020年","人","184"
"2020_01","人口","0","国籍総数","2","女","111","110歳","00000","全国","2020000000","2020年","人","140"
